STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_EN_ADSERVICE_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.586 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
    Component SMS_ENDPOINT_PROTECTION_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_ENDPOINT_PROTECTION_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.589 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
    Component SMS_FAILOVER_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_FAILOVER_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.592 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
    Component SMS_HIERARCHY_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_HIERARCHY_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.595 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
    Component SMS_INBOX_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_INBOX_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.598 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
    Component SMS_INBOX_MONITOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_INBOX_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.601 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
    Component SMS_INVENTORY_DATA_LOADER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_INVENTORY_DATA_LOADER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.604 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
    Component SMS_INVENTORY_PROCESSOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.593+480><thread=2808 (0xAF8)>
