Successfully shut down the workers.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.158+480><thread=5648 (0x1610)>
End main SMS_MESSAGE_PROCESSING_ENGINE thread  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.158+480><thread=5648 (0x1610)>
Thread for Task Execution Manager has stopped.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.126+480><thread=7172 (0x1C04)>
SMS_EXECUTIVE started SMS_MESSAGE_PROCESSING_ENGINE as thread ID 3876 (0xF24).  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.612+480><thread=3488 (0xDA0)>
Initializing Task Execution Manager instance as SMS_MESSAGE_PROCESSING_ENGINE.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.612+480><thread=5680 (0x1630)>
Starting component SMS_MESSAGE_PROCESSING_ENGINE~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.627+480><thread=5680 (0x1630)>
Component SMS_MESSAGE_PROCESSING_ENGINE started successfully.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.643+480><thread=5680 (0x1630)>
Starting message processor engine with ComponentName SMS_MESSAGE_PROCESSING_ENGINE...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.705+480><thread=3116 (0xC2C)>
Verbose logging changed to 0~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.705+480><thread=3116 (0xC2C)>
History retention days changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.705+480><thread=3116 (0xC2C)>
Purge history interval (minutes) changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.705+480><thread=3116 (0xC2C)>
Purged 0 records from history table~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.752+480><thread=3116 (0xC2C)>
Subscribing to Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_MESSAGE_PROCESSING_ENGINE, FilterType: ValueChange, WatchSubTree: False~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.768+480><thread=3116 (0xC2C)>
Registry Watcher started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.799+480><thread=3116 (0xC2C)>
Successfully subscribed listener to registry key.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.799+480><thread=3116 (0xC2C)>
Finished setup inbox with folder C:\Program Files\Microsoft Configuration Manager\inboxes\mpe.box~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.799+480><thread=3116 (0xC2C)>
Installed DBMON triggers~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.799+480><thread=3116 (0xC2C)>
Subscribed inbox file change~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.799+480><thread=3116 (0xC2C)>
Initialize message processor thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.815+480><thread=3116 (0xC2C)>
Inbox file handler thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.815+480><thread=6032 (0x1790)>
Loaded message process setting~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.815+480><thread=3116 (0xC2C)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Instant.InstantMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.830+480><thread=3116 (0xC2C)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.GatewayService.GatewayServiceMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.830+480><thread=3116 (0xC2C)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Discovery.DiscoveryMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.846+480><thread=3116 (0xC2C)>
Refreshing discovery data store procedures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:04.877+480><thread=3116 (0xC2C)>
Loading discovery architectures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.393+480><thread=3116 (0xC2C)>
Loading discovery property definitions...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.409+480><thread=3116 (0xC2C)>
Getting current site code...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.409+480><thread=3116 (0xC2C)>
Starting message processor...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.440+480><thread=3116 (0xC2C)>
Message processor started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.440+480><thread=3116 (0xC2C)>
Initialize message processor thread stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.440+480><thread=3116 (0xC2C)>
Main processing thread for message type GatewayService started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:05.455+480><thread=3116 (0xC2C)>
Main processing thread for message type Discovery started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:22.924+480><thread=5552 (0x15B0)>
Main processing thread for message type Instant started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:22.955+480><thread=4356 (0x1104)>
Register a DB connection...  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:24.049+480><thread=8836 (0x2284)>
STATMSG: ID=11402 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_SERVICE_CONNECTOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2772 TID=8836 GMTDATE=Mon Feb 27 03:56:24.060 2023 ISTR0="EndpointConnectivityCheckWorker" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:24.049+480><thread=8836 (0x2284)>
STATMSG: ID=11402 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_SERVICE_CONNECTOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2772 TID=8304 GMTDATE=Mon Feb 27 03:56:24.060 2023 ISTR0="UXAnalyticsUploadWorker" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:56:24.049+480><thread=8304 (0x2070)>
