Installing trigger SMSDBMON_Azure_CloudServiceHistory_AzureCloudServiceHist_ins_SiteComp_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.629+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.644 2023 ISTR0="SMSDBMON_Azure_CloudServiceHistory_AzureCloudServiceHist_ins_SiteComp_ins" ISTR1="Azure_CloudServiceHistory" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.629+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_Azure_Service_Azure_Service_SiteComp_id_del  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.660+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.663 2023 ISTR0="SMSDBMON_Azure_Service_Azure_Service_SiteComp_id_del" ISTR1="Azure_Service" ISTR2="delete" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.660+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_Azure_Service_Azure_Service_SiteComp_id_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.675+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.683 2023 ISTR0="SMSDBMON_Azure_Service_Azure_Service_SiteComp_id_ins" ISTR1="Azure_Service" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.675+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_Azure_Service_Azure_Service_SiteComp_u_upd  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.691+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.702 2023 ISTR0="SMSDBMON_Azure_Service_Azure_Service_SiteComp_u_upd" ISTR1="Azure_Service" ISTR2="update" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.691+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_DiscPropertyDefs_DiscProps_Add_SMSProv_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.707+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.723 2023 ISTR0="SMSDBMON_DiscPropertyDefs_DiscProps_Add_SMSProv_ins" ISTR1="DiscPropertyDefs" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.722+480><thread=4244 (0x1094)>
